Telugu,Tamil,Unnamed: 0
"డిసెంబర్ 12, 2017 
","டிசம்பர் 12, 2017 
",388.0
"మీరు మాకు సహాయం చేస్తుంది? 
","நீங்கள் எங்களுக்கு உதவ முடியும்? 
",389.0
"నేను wondering చేస్తున్నాను నేను కూడా మీరు సహాయం ప్రయత్నించాలి. ... 
","நான் யோசித்து நான் கூட உங்களுக்கு உதவ முயற்சிக்க வேண்டும். ... 
",390.0
"టెల్: + 86-021-60910861 
","தொலைபேசி: + 86-021-60910861 
",391.0
"ప్రేక్షకులు: 10-1.500 
","பார்வையாளர்கள்: 10-1.500 
",392.0
"ఎవరైనా మాకు నిజం తెలుసు కోరుకోలేదు ఉంటే ... 
","யாராவது உண்மையை தெரிந்து கொள்ள விரும்பவில்லை என்றால் ... 
",393.0
"మీరు ఇక్కడ ఉన్నారు: 
","நீ இங்கே இருக்கிறாய்: 
",394.0
"మనం దేవునికి ఎందుకు భయపడాలి! 
","நாம் ஏன் கடவுளுக்கு அஞ்ச வேண்டும்! 
",395.0
"ఇప్పుడు, నేను ఎక్కడా am. 
","இப்போது, நான் எங்கும் இருக்கிறேன். 
",396.0
"($290 మిలియన్) 
","($290 மில்லியன்) 
",397.0
"పేజీ 1 నుండి 212 » 
","பக்கம் 1 இருந்து 212 » 
",398.0
"అదృష్టం, మరియు అది వెళ్తాడు ఎలా నాకు తెలపండి! 
","நற்பேறு, போகும் எப்படி எனக்கு அனுமதிக்க! 
",399.0
"మరింత 564,737 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 557,038 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",400.0
"23 మే, 2011 
","23 மே, 2011 
",401.0
"ఇది చాలా సులభం: 
","அது மிகவும் எளிது: 
",402.0
"కాల్ మద్దతు +852 9871 3880 
","கால் ஆதரவு +852 9871 3880 
",403.0
"మీ మార్గం ఇప్పటివరకు ఉంది. 
","உங்கள் வழி இதுவரை இல்லை. 
",404.0
"అప్ పట్టుకోండి, పట్టుకొని 
","பிடித்து கொள், பிடித்து கொள் 
",405.0
"ఫోన్: 0755-23503373 
","தொலைபேசி: 0755-23503373 
",406.0
"టెల్: 0086-574-88277681 
","தொலைபேசி: 0086-574-88277681 
",407.0
"అతను అర్థం మరియు నాకు తెలుసని, 
","அவர் புரிந்து என்னை தெரியும் என்று, 
",408.0
"పొడవు 10 - $ 14.60 USD 11 - $ 14.60 USD 12 - $ 14.60 USD 13 - $ 14.60 USD 14 - $ 14.60 USD దయచేసి మీకు కావలసిన పొడవును వ్రాయండి - $ 14.60 USD 
","நீளம் 10 - $ 14.60 USD 11 - $ 14.60 USD 12 - $ 14.60 USD 13 - $ 14.60 USD 14 - $ 14.60 USD நீ விரும்பும் நீளம் எழுது - $ 14.60 USD 
",409.0
"మీరు సమాధానాల కోసం వెతుకుతున్నా, సమస్యను పరిష్కరించాలని కోరుకున్నా లేదా మేము ఎలా చేయాలో మాకు తెలియజేయాలనుకుంటున్నాము, ఇక్కడే మమ్మల్ని సంప్రదించడానికి మీకు అనేక మార్గాలు ఉన్నాయి. 
","நீங்கள் பதில்களைத் தேடுகிறார்களா, சிக்கலைத் தீர்க்க விரும்புகிறீர்களா அல்லது நாங்கள் எப்படி செய்தோம் என்பதை அறிய விரும்புகிறோம், இங்கே எங்களை தொடர்பு கொள்ள பல வழிகளைக் காணலாம். 
",410.0
"100% స్వాగతం 
","100% வரவேற்கிறோம் 
",411.0
"19 మే, 2011 
","19 மே, 2011 
",412.0
"19 మే, 2015 
","19 மே, 2015 
",413.0
"ఇప్పుడు మా కాల్: 0086-20-36177970 
","இப்போது எங்களை அழைக்க: 0086-20-36177970 
",414.0
"ధన్యవాదాలు మీ సమయం కోసం 
","தங்களின் நேரத்திற்கு நன்றி 
",415.0
"అదొక్కటే కాదు! 
","அது மட்டும் அல்ல! 
",416.0
"వాటిలో కొన్ని తనిఖీ చేయండి: 
","அவற்றில் சிலவற்றைச் சரிபார்க்கவும்: 
",417.0
"మీ రక్షణ మరియు భద్రతా రక్షించండి. 
","உங்கள் பாதுகாப்பு மற்றும் பாதுகாப்பு பாதுகாக்க. 
",418.0
"మా ప్రాయోజకులు & భాగస్వాములు: 
","எங்கள் விளம்பரதாரர்கள் மற்றும் பங்குதாரர்கள்: 
",419.0
"నాకు పదాలు పంపండి, foo 
","எனக்கு வார்த்தைகள் அனுப்பவும், foo 
",420.0
"మరింత సమాచారం, మాకు సంప్రదించడానికి సంకోచించకండి దయచేసి. ధన్యవాదాలు. 
","அதிக தகவல்கள், தொடர்பு கொள்ள தயங்க வேண்டாம். நன்றி. 
",421.0
"ఫోన్: 0086-13505752166 
","தொலைபேசி: 0086-13505752166 
",422.0
"Yes.Safety పూర్తిగా. 
","Yes.Safety முற்றிலும். 
",423.0
"[మొత్తం: 0 సగటు: 0/5] 
","[மொத்தம்: 0 சராசரி: 0/5] 
",424.0
"దీనిని ఎవరైనా ఎలా పరిష్కరించాలో తెలుసా? 
","யாராவது இதை எப்படி சரிசெய்வது என்று தெரியுமா? 
",425.0
"హలో మరియు స్వాగతం. 
","வணக்கம் மற்றும் வரவேற்கிறேன். 
",426.0
"పూర్తి వివరాలు చూడండి 
","முழு விவரங்களையும் காண்க 
",427.0
"ఫోన్ + 86-021-56730500 
","தொலைபேசி + 86-021-56730500 
",428.0
"ఫోన్: 86-311-87893169 
","தொலைபேசி: 86-311-87893169 
",429.0
"నివేదికలు - వారు నాతో ఏమి చెబుతారు? 
","அறிக்கைகள் - அவர்கள் என்ன சொல்கிறார்கள்? 
",430.0
"మీరు మా వీడియోలను ఆనందిస్తారని ఆశిస్తున్నాము. 
","எங்கள் வீடியோக்களை நீங்கள் அனுபவிக்க நம்புகிறேன். 
",431.0
"కాబట్టి దయచేసి వేచి ఉండండి మరియు మీ స్నేహితులకు చెప్పండి. 
","எனவே தயவுசெய்து காத்திருந்து உங்கள் நண்பர்களிடம் சொல்லுங்கள். 
",432.0
