Telugu,Tamil,Tamil_tokens,Telugu_tokens
వెంటనే మీరు ఆశిస్తున్నాము,விரைவில் நீங்கள் பார்க்க நம்புகிறேன்,"['விரைவில்', 'நீங்கள்', 'பார்க்க', 'நம்புகிறேன்']","['వెంటనే', 'మీరు', 'ఆశిస్తున్నాము']"
ప్రారంభించడానికి ఇది ఉచితం,தொடங்குக இது இலவசம்,"['தொடங்குக', 'இது', 'இலவசம்']","['ప్రారంభించడానికి', 'ఇది', 'ఉచితం']"
ఒక నిజమైన వ్యక్తి యొక్క ఐదు రహస్యాలు,ஒரு உண்மையான மனிதன் ஐந்து இரகசியங்களை,"['ஒரு', 'உண்மையான', 'மனிதன்', 'ஐந்து', 'இரகசியங்களை']","['ఒక', 'నిజమైన', 'వ్యక్తి', 'యొక్క', 'ఐదు', 'రహస్యాలు']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
ఇది మేము మీరు చూస్తున్న ఏమి దొరకదు తెలుస్తోంది బహుశా సహాయపడుతుంది శోధిస్తున్నారు,அதை நீங்கள் தேடும் என்ன கண்டுபிடிக்க முடியவில்லை தெரிகிறது ஒருவேளை உதவ முடியும் தேடி,"['அதை', 'நீங்கள்', 'தேடும்', 'என்ன', 'கண்டுபிடிக்க', 'முடியவில்லை', 'தெரிகிறது', 'ஒருவேளை', 'உதவ', 'முடியும்', 'தேடி']","['ఇది', 'మేము', 'మీరు', 'చూస్తున్న', 'ఏమి', 'దొరకదు', 'తెలుస్తోంది', 'బహుశా', 'సహాయపడుతుంది', 'శోధిస్తున్నారు']"
మీరు అక్కడ కలిసే ముందుకు చూస్తున్న,அங்கு நீங்கள் சந்திக்க எதிர்பார்த்து,"['அங்கு', 'நீங்கள்', 'சந்திக்க', 'எதிர்பார்த்து']","['మీరు', 'అక్కడ', 'కలిసే', 'ముందుకు', 'చూస్తున్న']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
మీ సమయం కోసం,நன்றி உங்கள் முறையாக,"['நன்றி', 'உங்கள்', 'முறையாக']","['మీ', 'సమయం', 'కోసం']"
© కాపీరైట్   అన్ని హక్కులు ప్రత్యేకించబడ్డాయి,© பதிப்புரிமை   அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை,"['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']","['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
తదుపరి పేజీ,அடுத்த பக்கம்,"['அடுத்த', 'பக்கம்']","['తదుపరి', 'పేజీ']"
మనం ఎవరము,நாங்கள் யார்,"['நாங்கள்', 'யார்']","['మనం', 'ఎవరము']"
మిమ్మల్ని ఇక్కడ చూడటం చాలా బాగుంది,உங்களை இங்கே பார்ப்பது மகிழ்ச்சி அளிக்கிறது,"['உங்களை', 'இங்கே', 'பார்ப்பது', 'மகிழ்ச்சி', 'அளிக்கிறது']","['మిమ్మల్ని', 'ఇక్కడ', 'చూడటం', 'చాలా', 'బాగుంది']"
మాతో సంప్రదించండి స్వాగతం మీరు ఏ విచారణ ఉంటే మా జట్టు అన్ని  గంటల్లో మీతో అందుబాటులో ఉంటుంది,எங்களுடன் தொடர்பு கொள்ள வரவேற்கிறேன் நீங்கள் எந்த விசாரணை இருந்தால் எங்கள் அணி அனைத்து  மணிநேரத்திற்குள் உங்களைத் கிடைக்கும்,"['எங்களுடன்', 'தொடர்பு', 'கொள்ள', 'வரவேற்கிறேன்', 'நீங்கள்', 'எந்த', 'விசாரணை', 'இருந்தால்', 'எங்கள்', 'அணி', 'அனைத்து', 'மணிநேரத்திற்குள்', 'உங்களைத்', 'கிடைக்கும்']","['మాతో', 'సంప్రదించండి', 'స్వాగతం', 'మీరు', 'ఏ', 'విచారణ', 'ఉంటే', 'మా', 'జట్టు', 'అన్ని', 'గంటల్లో', 'మీతో', 'అందుబాటులో', 'ఉంటుంది']"
ఎలా మీరు ఆ మనిషి మీరు ప్రేమిస్తున్న మరియు వివాహం కోరుకుంటున్నారు తెలుసు,அந்த மனிதன் நீங்கள் நேசிக்கிறார் மற்றும் திருமணம் செய்ய வேண்டும் என்று எப்படி தெரியும்,"['அந்த', 'மனிதன்', 'நீங்கள்', 'நேசிக்கிறார்', 'மற்றும்', 'திருமணம்', 'செய்ய', 'வேண்டும்', 'என்று', 'எப்படி', 'தெரியும்']","['ఎలా', 'మీరు', 'ఆ', 'మనిషి', 'మీరు', 'ప్రేమిస్తున్న', 'మరియు', 'వివాహం', 'కోరుకుంటున్నారు', 'తెలుసు']"
