Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
"['நாங்கள்', 'உங்களுக்கு', 'என்ன', 'வேண்டும்', 'கண்டறிவது', 'வேண்டும்']","['మేము', 'మీరు', 'అవసరం', 'ఏమి', 'గుర్తించడం', 'చేస్తాము']","{('நாங்கள்', 'உங்களுக்கு'): 0.2, ('உங்களுக்கு', 'என்ன'): 0.2, ('என்ன', 'வேண்டும்'): 0.2, ('வேண்டும்', 'கண்டறிவது'): 0.2, ('கண்டறிவது', 'வேண்டும்'): 0.2}","{('మేము', 'మీరు'): 0.2, ('మీరు', 'అవసరం'): 0.2, ('అవసరం', 'ఏమి'): 0.2, ('ఏమి', 'గుర్తించడం'): 0.2, ('గుర్తించడం', 'చేస్తాము'): 0.2}","[('మేము', 'NOUN'), ('మీరు', 'OTHER'), ('అవసరం', 'OTHER'), ('ఏమి', 'OTHER'), ('గుర్తించడం', 'OTHER'), ('చేస్తాము', 'NOUN')]","[('మేము', 'O'), ('మీరు', 'O'), ('అవసరం', 'O'), ('ఏమి', 'O'), ('గుర్తించడం', 'O'), ('చేస్తాము', 'O')]","{'நாங்கள்': 1, 'உங்களுக்கு': 1, 'என்ன': 1, 'வேண்டும்': 2, 'கண்டறிவது': 1}","{'మేము': 1, 'మీరు': 1, 'అవసరం': 1, 'ఏమి': 1, 'గుర్తించడం': 1, 'చేస్తాము': 1}",0.0
"['அட்டை', 'எண்', 'மாதம்', 'ஆண்டு', 'காலாவதியாகும்', 'தேதி', 'பாதுகாப்பு', 'கோட்', 'அட்டைதாரர்', 'பெயர்']","['కార్డ్', 'సంఖ్య', 'నెలలు', 'సంవత్సరము', 'గడువు', 'తేదీ', 'సెక్యూరిటీ', 'కోడ్', 'కార్డుదారుడు', 'పేరు']","{('அட்டை', 'எண்'): 0.1111111111111111, ('எண்', 'மாதம்'): 0.1111111111111111, ('மாதம்', 'ஆண்டு'): 0.1111111111111111, ('ஆண்டு', 'காலாவதியாகும்'): 0.1111111111111111, ('காலாவதியாகும்', 'தேதி'): 0.1111111111111111, ('தேதி', 'பாதுகாப்பு'): 0.1111111111111111, ('பாதுகாப்பு', 'கோட்'): 0.1111111111111111, ('கோட்', 'அட்டைதாரர்'): 0.1111111111111111, ('அட்டைதாரர்', 'பெயர்'): 0.1111111111111111}","{('కార్డ్', 'సంఖ్య'): 0.1111111111111111, ('సంఖ్య', 'నెలలు'): 0.1111111111111111, ('నెలలు', 'సంవత్సరము'): 0.1111111111111111, ('సంవత్సరము', 'గడువు'): 0.1111111111111111, ('గడువు', 'తేదీ'): 0.1111111111111111, ('తేదీ', 'సెక్యూరిటీ'): 0.1111111111111111, ('సెక్యూరిటీ', 'కోడ్'): 0.1111111111111111, ('కోడ్', 'కార్డుదారుడు'): 0.1111111111111111, ('కార్డుదారుడు', 'పేరు'): 0.1111111111111111}","[('కార్డ్', 'OTHER'), ('సంఖ్య', 'OTHER'), ('నెలలు', 'OTHER'), ('సంవత్సరము', 'NOUN'), ('గడువు', 'OTHER'), ('తేదీ', 'OTHER'), ('సెక్యూరిటీ', 'OTHER'), ('కోడ్', 'OTHER'), ('కార్డుదారుడు', 'OTHER'), ('పేరు', 'OTHER')]","[('కార్డ్', 'O'), ('సంఖ్య', 'O'), ('నెలలు', 'O'), ('సంవత్సరము', 'O'), ('గడువు', 'O'), ('తేదీ', 'O'), ('సెక్యూరిటీ', 'O'), ('కోడ్', 'O'), ('కార్డుదారుడు', 'O'), ('పేరు', 'O')]","{'அட்டை': 1, 'எண்': 1, 'மாதம்': 1, 'ஆண்டு': 1, 'காலாவதியாகும்': 1, 'தேதி': 1, 'பாதுகாப்பு': 1, 'கோட்': 1, 'அட்டைதாரர்': 1, 'பெயர்': 1}","{'కార్డ్': 1, 'సంఖ్య': 1, 'నెలలు': 1, 'సంవత్సరము': 1, 'గడువు': 1, 'తేదీ': 1, 'సెక్యూరిటీ': 1, 'కోడ్': 1, 'కార్డుదారుడు': 1, 'పేరు': 1}",0.0
"['யாராவது', 'எனக்கு', 'உதவ', 'முடியுமா']","['ఎవరైనా', 'నాకు', 'సహాయం', 'చేయగలరా']","{('யாராவது', 'எனக்கு'): 0.3333333333333333, ('எனக்கு', 'உதவ'): 0.3333333333333333, ('உதவ', 'முடியுமா'): 0.3333333333333333}","{('ఎవరైనా', 'నాకు'): 0.3333333333333333, ('నాకు', 'సహాయం'): 0.3333333333333333, ('సహాయం', 'చేయగలరా'): 0.3333333333333333}","[('ఎవరైనా', 'OTHER'), ('నాకు', 'OTHER'), ('సహాయం', 'OTHER'), ('చేయగలరా', 'OTHER')]","[('ఎవరైనా', 'O'), ('నాకు', 'O'), ('సహాయం', 'O'), ('చేయగలరా', 'O')]","{'யாராவது': 1, 'எனக்கு': 1, 'உதவ': 1, 'முடியுமா': 1}","{'ఎవరైనా': 1, 'నాకు': 1, 'సహాయం': 1, 'చేయగలరా': 1}",0.0
"['எப்போதும்', 'ஒரு', 'மகிழ்ச்சியான', 'முடிவை', 'நேசிக்கிறேன்']","['ఎల్లప్పుడూ', 'ఆనందకరమైన', 'ముగింపుని', 'ప్రేమిస్తాను']","{('எப்போதும்', 'ஒரு'): 0.25, ('ஒரு', 'மகிழ்ச்சியான'): 0.25, ('மகிழ்ச்சியான', 'முடிவை'): 0.25, ('முடிவை', 'நேசிக்கிறேன்'): 0.25}","{('ఎల్లప్పుడూ', 'ఆనందకరమైన'): 0.3333333333333333, ('ఆనందకరమైన', 'ముగింపుని'): 0.3333333333333333, ('ముగింపుని', 'ప్రేమిస్తాను'): 0.3333333333333333}","[('ఎల్లప్పుడూ', 'OTHER'), ('ఆనందకరమైన', 'OTHER'), ('ముగింపుని', 'OTHER'), ('ప్రేమిస్తాను', 'OTHER')]","[('ఎల్లప్పుడూ', 'O'), ('ఆనందకరమైన', 'O'), ('ముగింపుని', 'O'), ('ప్రేమిస్తాను', 'O')]","{'எப்போதும்': 1, 'ஒரு': 1, 'மகிழ்ச்சியான': 1, 'முடிவை': 1, 'நேசிக்கிறேன்': 1}","{'ఎల్లప్పుడూ': 1, 'ఆనందకరమైన': 1, 'ముగింపుని': 1, 'ప్రేమిస్తాను': 1}",0.0
"['ஏன்', 'எங்களை', 'தேர்வு', 'செய்தாய்', 'உங்களுக்காக', 'நாங்கள்', 'என்ன', 'செய்ய', 'முடியும்']","['మమ్మల్ని', 'ఎందుకు', 'ఎంచుకున్నావు', 'మరియు', 'మీ', 'కోసం', 'మేము', 'ఏమి', 'చేయవచ్చు']","{('ஏன்', 'எங்களை'): 0.125, ('எங்களை', 'தேர்வு'): 0.125, ('தேர்வு', 'செய்தாய்'): 0.125, ('செய்தாய்', 'உங்களுக்காக'): 0.125, ('உங்களுக்காக', 'நாங்கள்'): 0.125, ('நாங்கள்', 'என்ன'): 0.125, ('என்ன', 'செய்ய'): 0.125, ('செய்ய', 'முடியும்'): 0.125}","{('మమ్మల్ని', 'ఎందుకు'): 0.125, ('ఎందుకు', 'ఎంచుకున్నావు'): 0.125, ('ఎంచుకున్నావు', 'మరియు'): 0.125, ('మరియు', 'మీ'): 0.125, ('మీ', 'కోసం'): 0.125, ('కోసం', 'మేము'): 0.125, ('మేము', 'ఏమి'): 0.125, ('ఏమి', 'చేయవచ్చు'): 0.125}","[('మమ్మల్ని', 'OTHER'), ('ఎందుకు', 'OTHER'), ('ఎంచుకున్నావు', 'OTHER'), ('మరియు', 'OTHER'), ('మీ', 'OTHER'), ('కోసం', 'OTHER'), ('మేము', 'NOUN'), ('ఏమి', 'OTHER'), ('చేయవచ్చు', 'OTHER')]","[('మమ్మల్ని', 'O'), ('ఎందుకు', 'O'), ('ఎంచుకున్నావు', 'O'), ('మరియు', 'O'), ('మీ', 'O'), ('కోసం', 'O'), ('మేము', 'O'), ('ఏమి', 'O'), ('చేయవచ్చు', 'O')]","{'ஏன்': 1, 'எங்களை': 1, 'தேர்வு': 1, 'செய்தாய்': 1, 'உங்களுக்காக': 1, 'நாங்கள்': 1, 'என்ன': 1, 'செய்ய': 1, 'முடியும்': 1}","{'మమ్మల్ని': 1, 'ఎందుకు': 1, 'ఎంచుకున్నావు': 1, 'మరియు': 1, 'మీ': 1, 'కోసం': 1, 'మేము': 1, 'ఏమి': 1, 'చేయవచ్చు': 1}",0.0
"['யார்', 'நாங்கள்']","['మనం', 'ఎవరము']","{('யார்', 'நாங்கள்'): 1.0}","{('మనం', 'ఎవరము'): 1.0}","[('మనం', 'OTHER'), ('ఎవరము', 'NOUN')]","[('మనం', 'O'), ('ఎవరము', 'O')]","{'யார்': 1, 'நாங்கள்': 1}","{'మనం': 1, 'ఎవరము': 1}",0.0
"['நாங்கள்', 'யார்']","['మనం', 'ఎవరము']","{('நாங்கள்', 'யார்'): 1.0}","{('మనం', 'ఎవరము'): 1.0}","[('మనం', 'OTHER'), ('ఎవరము', 'NOUN')]","[('మనం', 'O'), ('ఎవరము', 'O')]","{'நாங்கள்': 1, 'யார்': 1}","{'మనం': 1, 'ఎవరము': 1}",0.0
['மே'],['మే'],{},{},"[('మే', 'OTHER')]","[('మే', 'O')]",{'மே': 1},{'మే': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
['ஆண்டுகள்'],['సంవత్సరాల'],{},{},"[('సంవత్సరాల', 'OTHER')]","[('సంవత్సరాల', 'O')]",{'ஆண்டுகள்': 1},{'సంవత్సరాల': 1},0.0
"['மன்னிக்கவும்', 'நான்', 'மிகவும்', 'குறைவாக', 'தெரியும்']","['క్షమించాలి', 'నేను', 'చాలా', 'తక్కువ', 'తెలిసిన']","{('மன்னிக்கவும்', 'நான்'): 0.25, ('நான்', 'மிகவும்'): 0.25, ('மிகவும்', 'குறைவாக'): 0.25, ('குறைவாக', 'தெரியும்'): 0.25}","{('క్షమించాలి', 'నేను'): 0.25, ('నేను', 'చాలా'): 0.25, ('చాలా', 'తక్కువ'): 0.25, ('తక్కువ', 'తెలిసిన'): 0.25}","[('క్షమించాలి', 'OTHER'), ('నేను', 'OTHER'), ('చాలా', 'OTHER'), ('తక్కువ', 'OTHER'), ('తెలిసిన', 'OTHER')]","[('క్షమించాలి', 'O'), ('నేను', 'O'), ('చాలా', 'O'), ('తక్కువ', 'O'), ('తెలిసిన', 'O')]","{'மன்னிக்கவும்': 1, 'நான்': 1, 'மிகவும்': 1, 'குறைவாக': 1, 'தெரியும்': 1}","{'క్షమించాలి': 1, 'నేను': 1, 'చాలా': 1, 'తక్కువ': 1, 'తెలిసిన': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['நீளம்', 'நீ', 'விரும்பும்', 'நீளம்', 'எழுது']","['పొడవు', 'దయచేసి', 'మీకు', 'కావలసిన', 'పొడవును', 'వ్రాయండి']","{('நீளம்', 'நீ'): 0.25, ('நீ', 'விரும்பும்'): 0.25, ('விரும்பும்', 'நீளம்'): 0.25, ('நீளம்', 'எழுது'): 0.25}","{('పొడవు', 'దయచేసి'): 0.2, ('దయచేసి', 'మీకు'): 0.2, ('మీకు', 'కావలసిన'): 0.2, ('కావలసిన', 'పొడవును'): 0.2, ('పొడవును', 'వ్రాయండి'): 0.2}","[('పొడవు', 'OTHER'), ('దయచేసి', 'OTHER'), ('మీకు', 'OTHER'), ('కావలసిన', 'OTHER'), ('పొడవును', 'OTHER'), ('వ్రాయండి', 'OTHER')]","[('పొడవు', 'O'), ('దయచేసి', 'O'), ('మీకు', 'O'), ('కావలసిన', 'O'), ('పొడవును', 'O'), ('వ్రాయండి', 'O')]","{'நீளம்': 2, 'நீ': 1, 'விரும்பும்': 1, 'எழுது': 1}","{'పొడవు': 1, 'దయచేసి': 1, 'మీకు': 1, 'కావలసిన': 1, 'పొడవును': 1, 'వ్రాయండి': 1}",0.0
"['©', 'பதிப்புரிமை', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']","['©', 'కాపీరైట్', 'అన్ని', 'హక్కులు', 'ప్రత్యేకించబడ్డాయి']","{('©', 'பதிப்புரிமை'): 0.25, ('பதிப்புரிமை', 'அனைத்து'): 0.25, ('அனைத்து', 'உரிமைகளும்'): 0.25, ('உரிமைகளும்', 'பாதுகாக்கப்பட்டவை'): 0.25}","{('©', 'కాపీరైట్'): 0.25, ('కాపీరైట్', 'అన్ని'): 0.25, ('అన్ని', 'హక్కులు'): 0.25, ('హక్కులు', 'ప్రత్యేకించబడ్డాయి'): 0.25}","[('©', 'OTHER'), ('కాపీరైట్', 'OTHER'), ('అన్ని', 'OTHER'), ('హక్కులు', 'OTHER'), ('ప్రత్యేకించబడ్డాయి', 'OTHER')]","[('©', 'O'), ('కాపీరైట్', 'O'), ('అన్ని', 'O'), ('హక్కులు', 'O'), ('ప్రత్యేకించబడ్డాయి', 'O')]","{'©': 1, 'பதிப்புரிமை': 1, 'அனைத்து': 1, 'உரிமைகளும்': 1, 'பாதுகாக்கப்பட்டவை': 1}","{'©': 1, 'కాపీరైట్': 1, 'అన్ని': 1, 'హక్కులు': 1, 'ప్రత్యేకించబడ్డాయి': 1}",0.19999999999999996
"['சுமை', 'உன்னுடையது', 'அல்ல']","['భారం', 'మీది', 'కాదు']","{('சுமை', 'உன்னுடையது'): 0.5, ('உன்னுடையது', 'அல்ல'): 0.5}","{('భారం', 'మీది'): 0.5, ('మీది', 'కాదు'): 0.5}","[('భారం', 'OTHER'), ('మీది', 'OTHER'), ('కాదు', 'OTHER')]","[('భారం', 'O'), ('మీది', 'O'), ('కాదు', 'O')]","{'சுமை': 1, 'உன்னுடையது': 1, 'அல்ல': 1}","{'భారం': 1, 'మీది': 1, 'కాదు': 1}",0.0
