Telugu_Tokens,Tamil_Tokens
"['మేము', 'ఇప్పుడు', 'ఏమి', 'చేస్తారు']","['இப்பொழுது', 'நாம்', 'என்ன', 'செய்ய']"
"['పోస్ట్', 'చేసిన', 'తేదీ', 'ద్వారా', 'అడ్మిన్']","['அன்று', 'மூலம்', 'நிர்வாகம்']"
"['మేము', 'మీ', 'నుండి', 'వినడానికి', 'మేము', 'ఇష్టపడతాము']","['நாங்கள்', 'கேட்க', 'விரும்புகிறோம்']"
['ఫోన్'],['தொலைபேசி']
['డిసెంబర్'],['டிசம்பர்']
"['మీరు', 'మాకు', 'సహాయం', 'చేస్తుంది']","['நீங்கள்', 'எங்களுக்கு', 'உதவ', 'முடியும்']"
"['నేను', 'చేస్తున్నాను', 'నేను', 'కూడా', 'మీరు', 'సహాయం', 'ప్రయత్నించాలి']","['நான்', 'யோசித்து', 'நான்', 'கூட', 'உங்களுக்கு', 'உதவ', 'முயற்சிக்க', 'வேண்டும்']"
['టెల్'],['தொலைபேசி']
['ప్రేక్షకులు'],['பார்வையாளர்கள்']
"['ఎవరైనా', 'మాకు', 'నిజం', 'తెలుసు', 'కోరుకోలేదు', 'ఉంటే']","['யாராவது', 'உண்மையை', 'தெரிந்து', 'கொள்ள', 'விரும்பவில்லை', 'என்றால்']"
"['మీరు', 'ఇక్కడ', 'ఉన్నారు']","['நீ', 'இங்கே', 'இருக்கிறாய்']"
"['మనం', 'దేవునికి', 'ఎందుకు', 'భయపడాలి']","['நாம்', 'ஏன்', 'கடவுளுக்கு', 'அஞ்ச', 'வேண்டும்']"
"['ఇప్పుడు', 'నేను', 'ఎక్కడా']","['இப்போது', 'நான்', 'எங்கும்', 'இருக்கிறேன்']"
['మిలియన్'],['மில்லியன்']
"['పేజీ', 'నుండి', '»']","['பக்கம்', 'இருந்து', '»']"
"['అదృష్టం', 'మరియు', 'అది', 'వెళ్తాడు', 'ఎలా', 'నాకు', 'తెలపండి']","['நற்பேறு', 'போகும்', 'எப்படி', 'எனக்கு', 'அனுமதிக்க']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
['మే'],['மே']
"['ఇది', 'చాలా', 'సులభం']","['அது', 'மிகவும்', 'எளிது']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['మీ', 'మార్గం', 'ఇప్పటివరకు', 'ఉంది']","['உங்கள்', 'வழி', 'இதுவரை', 'இல்லை']"
"['అప్', 'పట్టుకోండి', 'పట్టుకొని']","['பிடித்து', 'கொள்', 'பிடித்து', 'கொள்']"
['ఫోన్'],['தொலைபேசி']
['టెల్'],['தொலைபேசி']
"['అతను', 'అర్థం', 'మరియు', 'నాకు', 'తెలుసని']","['அவர்', 'புரிந்து', 'என்னை', 'தெரியும்', 'என்று']"
"['పొడవు', 'దయచేసి', 'మీకు', 'కావలసిన', 'పొడవును', 'వ్రాయండి']","['நீளம்', 'நீ', 'விரும்பும்', 'நீளம்', 'எழுது']"
"['మీరు', 'సమాధానాల', 'కోసం', 'వెతుకుతున్నా', 'సమస్యను', 'పరిష్కరించాలని', 'కోరుకున్నా', 'లేదా', 'మేము', 'ఎలా', 'చేయాలో', 'మాకు', 'తెలియజేయాలనుకుంటున్నాము', 'ఇక్కడే', 'మమ్మల్ని', 'సంప్రదించడానికి', 'మీకు', 'అనేక', 'మార్గాలు', 'ఉన్నాయి']","['நீங்கள்', 'பதில்களைத்', 'தேடுகிறார்களா', 'சிக்கலைத்', 'தீர்க்க', 'விரும்புகிறீர்களா', 'அல்லது', 'நாங்கள்', 'எப்படி', 'செய்தோம்', 'என்பதை', 'அறிய', 'விரும்புகிறோம்', 'இங்கே', 'எங்களை', 'தொடர்பு', 'கொள்ள', 'பல', 'வழிகளைக்', 'காணலாம்']"
['స్వాగతం'],['வரவேற்கிறோம்']
['మే'],['மே']
['మే'],['மே']
"['ఇప్పుడు', 'మా', 'కాల్']","['இப்போது', 'எங்களை', 'அழைக்க']"
"['ధన్యవాదాలు', 'మీ', 'సమయం', 'కోసం']","['தங்களின்', 'நேரத்திற்கு', 'நன்றி']"
"['అదొక్కటే', 'కాదు']","['அது', 'மட்டும்', 'அல்ல']"
"['వాటిలో', 'కొన్ని', 'తనిఖీ', 'చేయండి']","['அவற்றில்', 'சிலவற்றைச்', 'சரிபார்க்கவும்']"
"['మీ', 'రక్షణ', 'మరియు', 'భద్రతా', 'రక్షించండి']","['உங்கள்', 'பாதுகாப்பு', 'மற்றும்', 'பாதுகாப்பு', 'பாதுகாக்க']"
"['మా', 'ప్రాయోజకులు', 'భాగస్వాములు']","['எங்கள்', 'விளம்பரதாரர்கள்', 'மற்றும்', 'பங்குதாரர்கள்']"
"['నాకు', 'పదాలు', 'పంపండి']","['எனக்கு', 'வார்த்தைகள்', 'அனுப்பவும்']"
"['మరింత', 'సమాచారం', 'మాకు', 'సంప్రదించడానికి', 'సంకోచించకండి', 'దయచేసి', 'ధన్యవాదాలు']","['அதிக', 'தகவல்கள்', 'தொடர்பு', 'கொள்ள', 'தயங்க', 'வேண்டாம்', 'நன்றி']"
['ఫోన్'],['தொலைபேசி']
['పూర్తిగా'],['முற்றிலும்']
"['మొత్తం', 'సగటు']","['மொத்தம்', 'சராசரி']"
"['దీనిని', 'ఎవరైనా', 'ఎలా', 'పరిష్కరించాలో', 'తెలుసా']","['யாராவது', 'இதை', 'எப்படி', 'சரிசெய்வது', 'என்று', 'தெரியுமா']"
"['హలో', 'మరియు', 'స్వాగతం']","['வணக்கம்', 'மற்றும்', 'வரவேற்கிறேன்']"
"['పూర్తి', 'వివరాలు', 'చూడండి']","['முழு', 'விவரங்களையும்', 'காண்க']"
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
"['నివేదికలు', 'వారు', 'నాతో', 'ఏమి', 'చెబుతారు']","['அறிக்கைகள்', 'அவர்கள்', 'என்ன', 'சொல்கிறார்கள்']"
"['మీరు', 'మా', 'వీడియోలను', 'ఆనందిస్తారని', 'ఆశిస్తున్నాము']","['எங்கள்', 'வீடியோக்களை', 'நீங்கள்', 'அனுபவிக்க', 'நம்புகிறேன்']"
"['కాబట్టి', 'దయచేసి', 'వేచి', 'ఉండండి', 'మరియు', 'మీ', 'స్నేహితులకు', 'చెప్పండి']","['எனவே', 'தயவுசெய்து', 'காத்திருந்து', 'உங்கள்', 'நண்பர்களிடம்', 'சொல்லுங்கள்']"
"['ధన్యవాదాలు', 'మీ', 'సమయం', 'కోసం']","['நன்றி', 'உங்கள்', 'முறையாக']"
['టెల్'],['தொலைபேசி']
"['అది', 'ఎలా', 'పని', 'చేస్తుంది']","['எப்படி', 'இது', 'செயல்படுகிறது']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['అతను', 'అది', 'చాలా', 'సంవత్సరాలు', 'క్రితం', 'కాబట్టి']","['அவர்', 'பல', 'ஆண்டுகளுக்கு', 'முன்பு', 'இருந்ததை', 'அதனால்']"
['బరువు'],['எடை']
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['నేను', 'అక్కడ', 'ఉన్నాను', 'మీరు', 'అద్భుతంగా', 'ఉన్నాయి']","['நான்', 'அங்கு', 'இருந்தேன்', 'நீங்கள்', 'அற்புதமான', 'இருந்தன']"
"['నేను', 'ఒక', 'దేవుడు', 'చంపాను']","['நான்', 'ஒரு', 'கடவுளை', 'கொன்றேன்']"
